,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
118,Never Gonna Give You Up,Whenever You Need Somebody,Rick Astley,1987-11-12,213573,82,0.721,0.115,0.939,3.79e-05,0.108,-11.823,0.0376,113.309,0.914
119,She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,Maroon 5,2002,259453,82,0.651,0.228,0.663,0.0,0.0994,-5.569,0.0281,102.0,0.465
120,With Or Without You,The Joshua Tree (Super Deluxe),U2,1987-03-03,295515,82,0.54,0.000202,0.429,0.355,0.141,-11.822,0.0285,110.171,0.113
121,...Baby One More Time,...Baby One More Time (Digital Deluxe Version),Britney Spears,1999-01-12,211066,82,0.759,0.202,0.699,0.000131,0.443,-5.745,0.0307,92.96,0.907
122,S&M,Loud (Japan Version),Rihanna,2010-01-01,243600,82,0.769,0.0105,0.684,0.000125,0.0887,-5.019,0.0411,127.972,0.835
123,Kiss Me,Sixpence None the Richer,Sixpence None The Richer,1997-11-22,208680,82,0.526,0.023,0.749,1.76e-06,0.0692,-6.964,0.0283,99.982,0.421
124,Wind Of Change,Crazy World,Scorpions,1990-01-01,312360,82,0.452,0.315,0.524,0.0,0.103,-10.108,0.0351,151.505,0.246
125,Complicated,Let Go,Avril Lavigne,2002-06-04,244506,82,0.585,0.0572,0.776,7.74e-06,0.3,-5.898,0.0459,77.987,0.427
126,Should I Stay or Should I Go - Remastered,Combat Rock (Remastered),The Clash,1982,188986,82,0.743,0.0804,0.836,0.0,0.384,-6.465,0.116,113.375,0.82
127,All Star,Astro Lounge,Smash Mouth,1999-06-08,200373,82,0.731,0.0395,0.867,0.0,0.0861,-5.881,0.032,104.019,0.776
128,Lush Life,So Good,Zara Larsson,2017-03-17,201122,82,0.694,0.132,0.712,0.0,0.211,-3.923,0.046,98.023,0.799
129,Castle on the Hill,÷ (Deluxe),Ed Sheeran,2017-03-03,261153,82,0.461,0.0232,0.834,1.14e-05,0.14,-4.868,0.0989,135.007,0.471
130,Don't Go Breaking My Heart,Rock Of The Westies,Elton John,1975-10-24,275440,82,0.729,0.149,0.844,2.87e-06,0.0604,-8.824,0.0344,131.459,0.777
131,Mr. Jones,August And Everything After,Counting Crows,1993-01-01,272293,82,0.578,0.183,0.817,3.06e-06,0.285,-6.542,0.0363,141.621,0.726
132,Crazy In Love (feat. Jay-Z),Dangerously In Love,Beyoncé,2003-06-24,236133,82,0.646,0.00249,0.77,0.0,0.0715,-6.596,0.226,99.165,0.681
133,Drag Me Down,Made In The A.M. (Deluxe Edition),One Direction,2015-11-13,192120,81,0.73,0.109,0.703,0.0,0.0657,-5.672,0.0369,138.113,0.595
134,Free Fallin',Full Moon Fever,Tom Petty,1989-01-01,256000,81,0.623,0.212,0.449,0.0,0.0613,-13.333,0.0253,84.383,0.572
135,Oops!...I Did It Again,Oops!... I Did It Again,Britney Spears,2000-05-16,211160,81,0.751,0.3,0.834,1.77e-05,0.355,-5.444,0.0437,95.053,0.894
136,About Damn Time,About Damn Time,Lizzo,2022-04-14,191822,81,0.836,0.0995,0.743,0.0,0.335,-6.305,0.0656,108.966,0.722
137,Galway Girl,÷ (Deluxe),Ed Sheeran,2017-03-03,170826,81,0.624,0.0735,0.876,0.0,0.327,-3.374,0.1,99.943,0.781
138,On The Floor,Love?,Jennifer Lopez,2011-01-01,284866,81,0.73,0.105,0.777,0.000478,0.0691,-5.194,0.0496,130.0,0.575
139,Raise Your Glass,Raise Your Glass,P!nk,2010-10-05,202960,81,0.7,0.0048,0.709,0.0,0.029,-5.006,0.0838,122.019,0.624
140,Good Riddance (Time of Your Life),Nimrod,Green Day,1997-10-14,153466,81,0.475,0.183,0.432,0.0,0.161,-7.844,0.0302,94.605,0.648
141,Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2001-03-27,259933,81,0.481,0.153,0.638,0.0,0.154,-5.862,0.0276,79.064,0.497
142,Someone Like You,21,Adele,2011-01-24,285240,81,0.556,0.893,0.319,0.0,0.0996,-8.251,0.0281,135.187,0.294
143,Nothing's Gonna Stop Us Now,No Protection,Starship,1987-07-27,270333,81,0.643,0.0299,0.802,0.0,0.0719,-4.92,0.0227,95.99,0.53
144,Bang Bang,Sweet Talker (Deluxe Version),Jessie J,2014-10-14,199386,81,0.706,0.26,0.786,0.0,0.38,-3.417,0.091,150.028,0.751
145,Glad You Came,Battleground (Deluxe Edition),The Wanted,2011-01-01,197935,81,0.722,0.0319,0.851,0.0,0.108,-3.873,0.0639,126.885,0.452
146,Without You (feat. Sandro Cavazza),AVĪCI (01),Avicii,2017-08-10,181672,81,0.662,0.00163,0.858,0.0,0.0456,-4.844,0.0428,133.993,0.295
147,Wild Ones (feat. Sia),Wild Ones,Flo Rida,2012-06-22,232946,81,0.608,0.0991,0.86,0.0,0.262,-5.324,0.0554,127.075,0.437
148,Party In The U.S.A.,The Time Of Our Lives,Miley Cyrus,2009-01-01,202066,81,0.652,0.00112,0.698,0.000115,0.0886,-4.667,0.042,96.021,0.47
149,This Town,Flicker (Deluxe),Niall Horan,2017-10-20,232852,81,0.677,0.712,0.401,0.0,0.116,-8.467,0.0308,111.825,0.195
150,9 to 5,9 To 5 And Odd Jobs,Dolly Parton,1980,162466,81,0.554,0.416,0.783,1.54e-06,0.631,-5.852,0.0457,105.39,0.813
151,Drive By,California 37,Train,2012-04-17,195973,81,0.765,0.00107,0.837,1.06e-05,0.0801,-3.113,0.032,122.028,0.721
152,Fireflies,Ocean Eyes,Owl City,2009-01-01,228346,80,0.512,0.0275,0.662,0.0,0.118,-6.797,0.0439,180.114,0.472
153,Dancing in the Moonlight,Onka's Big Moka,Toploader,2000,232693,80,0.632,0.0624,0.856,0.0,0.347,-3.463,0.0348,119.397,0.867
154,Believe,Believe,Cher,1998,239026,80,0.652,0.0082,0.917,0.0,0.0509,-6.72,0.0548,132.975,0.459
155,Be Alright,Be Alright,Dean Lewis,2018-06-29,196373,80,0.553,0.697,0.586,0.0,0.0813,-6.319,0.0362,126.684,0.443
156,Can't Get You out of My Head,Fever,Kylie Minogue,2001-10-01,230640,80,0.766,0.0263,0.563,0.683,0.115,-7.516,0.0339,126.007,0.964
157,Man! I Feel Like A Woman!,Come On Over,Shania Twain,1997-11-04,234493,80,0.657,0.581,0.639,0.0,0.278,-7.527,0.0412,124.882,0.674
158,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),Ellie Goulding,2015-11-06,252534,80,0.262,0.247,0.606,0.0,0.125,-6.646,0.0484,189.857,0.275
159,Don't Speak,Tragic Kingdom,No Doubt,1995-10-10,263560,80,0.52,0.247,0.709,1.78e-05,0.18,-7.125,0.0352,76.039,0.536
160,I Still Haven't Found What I'm Looking For,The Joshua Tree (Super Deluxe),U2,1987-03-03,277476,80,0.564,0.0135,0.774,0.00191,0.0861,-9.424,0.0368,100.894,0.657
161,You Can't Hurry Love - 2016 Remaster,"Hello, I Must Be Going! (Deluxe Edition)",Phil Collins,1982-11-05,175746,80,0.62,0.0261,0.936,0.0,0.0679,-4.593,0.0308,97.527,0.763
162,Grenade,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,222091,80,0.704,0.148,0.558,0.0,0.107,-7.273,0.0542,110.444,0.245
163,Wonderwall - Remastered,(What's The Story) Morning Glory? (Deluxe Remastered Edition),Oasis,1995,258773,80,0.375,0.000509,0.893,0.0,0.187,-4.097,0.0406,174.323,0.434
164,Time After Time,She's So Unusual,Cyndi Lauper,1983-10-14,241333,80,0.726,0.487,0.449,1.34e-06,0.0824,-9.206,0.0286,130.388,0.294
