,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
424,Thou Art With Me,REACH,Various Artists,2021-01-01,107853,0,0.265,0.88,0.338,0.542,0.167,-12.254,0.0318,82.546,0.0738
425,Don't Want to Be Hurt (with The Fugitives),Put On Your Best Dress: Sonia Pottinger's Ska & Rock Steady 1966-67 (Expanded Version),Various Artists,1966-04-04,195746,32,0.79,0.723,0.257,0.0288,0.118,-11.103,0.0339,84.026,0.507
426,Ma Kwacha No.2,Aunka Ma Kwacha,Smokey Haangala,2019-12-12,184701,10,0.532,0.33,0.469,0.0,0.162,-10.956,0.0453,181.994,0.472
427,Why Can't There Be Love,"Gilles Peterson Digs America, Vol. 2",Various Artists,2007-09-17,164560,44,0.456,0.404,0.869,2.75e-05,0.0297,-5.893,0.222,206.387,0.775
428,Torture Chamber,Torture Chamber remix,Edan,2005-06-26,245706,7,0.733,0.161,0.945,0.000409,0.0656,-6.762,0.126,107.477,0.397
429,Going Down,Getting Ready... (World),Freddie King,1971,204333,63,0.565,0.0339,0.526,0.000119,0.11,-11.352,0.0365,167.936,0.637
430,African Sweets,Elegant Soul (Reissue),Gene Harris & The Three Sounds,1969-01-01,268480,16,0.608,0.743,0.671,0.823,0.637,-9.378,0.036,130.804,0.845
431,I Need Dub,"Uncut Gems ""Bonus Dubs""",Lavonz,2020-10-09,296005,0,0.88,0.0244,0.927,0.037,0.0597,-7.829,0.136,129.985,0.874
432,Like My Way,You've Got the Whole Night to Go,Logic1000,2021-01-22,253440,31,0.803,0.0258,0.581,0.84,0.0768,-8.054,0.17,125.007,0.163
433,I've Been Thinkin',This Is Me...Then,Jennifer Lopez,2002,281866,31,0.672,0.232,0.657,2.94e-05,0.0855,-6.197,0.0432,85.074,0.598
434,Flower Bed,Ruff Dog,Mica Levi,2020-12-16,158775,0,0.672,0.622,0.684,0.853,0.236,-9.395,0.0277,107.983,0.745
435,The New Normal,Sound Ancestors,Madlib,2021-01-29,148146,31,0.461,0.0037,0.86,0.964,0.173,-8.537,0.0341,182.669,0.974
436,Loose Goose,Sound Ancestors,Madlib,2021-01-29,141253,32,0.878,0.062,0.584,0.104,0.11,-13.087,0.622,145.626,0.926
437,Dirtknock,Sound Ancestors,Madlib,2021-01-29,134600,32,0.713,0.281,0.488,0.885,0.277,-10.278,0.321,177.837,0.565
438,Sound Ancestors,Sound Ancestors,Madlib,2021-01-29,170840,27,0.437,0.324,0.447,0.0019,0.501,-16.026,0.0581,108.408,0.507
439,One For Quartabê / Right Now,Sound Ancestors,Madlib,2021-01-29,162106,26,0.345,0.38,0.597,0.233,0.928,-9.114,0.0966,79.217,0.37
440,"Open Your Eyes, You Can Fly",The New Quartet,Gary Burton,1973-09-15,400160,19,0.376,0.456,0.678,0.151,0.0846,-13.857,0.0371,92.224,0.881
441,Conquistadores,El Chico,Chico Hamilton,1965-01-01,400480,38,0.568,0.521,0.925,0.451,0.132,-11.326,0.0405,79.542,0.936
442,Sunday Morning,Take A Picture,Margo Guryan,1968,140133,9,0.545,0.634,0.754,2.55e-06,0.118,-8.261,0.05,98.743,0.888
443,An Unsolved Exercise in Physics - Mia Askisi Fysikis Alyti,Galop,Lena Platonos,2007-11-12,239266,22,0.758,0.197,0.657,1.24e-06,0.162,-8.266,0.219,130.735,0.838
444,Catastrophe and the Cure (Four Tet Mix),All of a Sudden I Miss Everyone (Remixes),Explosions In The Sky,2009-07-21,513013,13,0.587,0.102,0.607,0.542,0.696,-8.381,0.0389,112.978,0.183
445,BIPP - Autechre Mx,BIPP (Autechre Mx),SOPHIE,2021-01-14,213332,33,0.859,0.000997,0.398,0.0125,0.101,-11.742,0.0624,104.287,0.41
446,Drek,Vixere II/II,Malin Genie,2021-01-01,269336,8,0.883,0.0287,0.433,0.893,0.521,-12.298,0.169,129.975,0.659
447,Dead Cat Chaos Magician,Walk It Dry,Sly & The Family Drone,2020-07-17,236449,4,0.331,0.259,0.906,0.788,0.0848,-6.069,0.168,90.625,0.0458
448,Sentence,Amanita,Bardo Pond,1996-04-09,308560,13,0.0889,4.36e-05,0.88,0.75,0.114,-7.487,0.0636,184.25,0.239
449,On the Road South,"Texas Garage Bands, Vol. 2",Various Artists,2012-07-17,136597,6,0.165,0.0727,0.813,0.518,0.111,-8.131,0.0443,165.726,0.679
450,Lento,Lento,Pandit Pam Pam,2020-12-18,281913,0,0.533,0.852,0.195,0.927,0.169,-12.879,0.038,112.804,0.201
451,Put That Shit On,Put That Shit On,Yung Booke,2020-12-11,215986,9,0.868,0.032,0.572,0.0,0.0741,-9.756,0.0827,130.0,0.178
452,Hopprock,Hopprock,Madlib,2021-01-04,207146,23,0.671,0.119,0.656,0.184,0.047,-13.354,0.133,172.137,0.532
453,0000 871 0020,871,00110100 01010100,2020-12-25,324573,28,0.645,0.77,0.461,0.345,0.0659,-12.094,0.0329,81.175,0.17
454,Parallel 3,Parallel,Four Tet,2020-12-25,48168,29,0.379,0.988,0.128,0.861,0.1,-20.533,0.0994,67.686,0.0657
455,0000 871 0006,871,00110100 01010100,2020-12-25,209861,12,0.252,0.796,0.301,0.00553,0.109,-13.027,0.0448,141.495,0.0744
456,Too Long At The Fair - Live,"Cryin' Mercy (Live, Sausalito '73)",Bonnie Raitt,2020-12-03,165250,7,0.548,0.862,0.43,0.121,0.0889,-12.74,0.045,128.915,0.335
457,Willow's Song,The Wicker Man,Magnet,1973,282746,0,0.417,0.877,0.24,0.123,0.112,-18.934,0.0279,105.346,0.468
458,Road to Madrid,The Problem With Me,Seam,1993-09-20,359333,0,0.365,0.0199,0.461,0.787,0.103,-13.612,0.0324,114.499,0.136
459,Sai do Sereno,Expresso 2222,Gilberto Gil,1972-01-01,200306,0,0.487,0.208,0.799,0.447,0.0677,-7.605,0.0856,68.481,0.566
460,Sete Cachorros,Nelson Angelo E Joyce,Nelson Angelo,1972-01-01,163106,15,0.586,0.799,0.656,0.364,0.126,-8.987,0.0307,98.457,0.618
461,Equipoise,A Life in Time - The Roy Haynes Story,Various Artists,2007-01-01,264480,2,0.46,0.722,0.525,0.135,0.172,-9.505,0.0561,139.797,0.379
462,Sorti,Voice Of The Wolf,Various Artists,1975,236746,5,0.504,0.259,0.522,0.68,0.131,-12.962,0.0457,74.879,0.162
463,Dedicated To You,Marea / Tide,Ruins,2019-10-14,126751,4,0.185,0.942,0.105,0.919,0.11,-23.48,0.0462,144.11,0.0849
464,Parallel 7,Parallel,Four Tet,2020-12-25,343400,43,0.649,0.884,0.491,0.678,0.111,-15.286,0.0774,78.019,0.257
465,Beno!,Whole Lotta Red,Playboi Carti,2020-12-25,153333,65,0.923,0.0213,0.562,0.0,0.0726,-7.357,0.304,144.067,0.499
466,Rhymes Like Dimes,Operation: Doomsday (Complete),MF DOOM,1999-04-20,258613,1,0.644,0.662,0.751,0.0,0.17,-5.652,0.268,99.948,0.759
467,Rae Dawn,Rae Dawn / Change the Beat,Viktor Vaughn,2012-01-17,180600,35,0.801,0.449,0.609,0.0,0.179,-6.059,0.397,97.924,0.632
468,"I Hear Voices Pt. 1 (12"" Version)",Operation: Doomsday (Complete),MF DOOM,1999-04-20,171920,0,0.679,0.423,0.557,0.0,0.313,-9.435,0.0651,116.244,0.691
469,Krazy World,Take Me To Your Leader,King Geedorah,2003-06-17,283920,50,0.412,0.091,0.816,0.0,0.0844,-1.987,0.104,95.752,0.748
470,All Caps,Madvillainy,Madvillain,2004-03-24,130479,0,0.358,0.266,0.889,1.46e-05,0.172,-8.045,0.335,85.61,0.666
471,Great Day (Four Tet Remix),Four Tet Remixes,Madvillain,2005,174440,0,0.488,0.588,0.621,0.0,0.0573,-10.542,0.195,86.98,0.48
472,Parallel 1,Parallel,Four Tet,2020-12-25,1606164,34,0.398,0.922,0.0501,0.918,0.106,-17.46,0.0357,140.003,0.151
473,Parallel 9,Parallel,Four Tet,2020-12-25,435070,35,0.419,0.921,0.287,0.316,0.341,-16.891,0.0878,130.042,0.0862
474,0000 871 0003,871,00110100 01010100,2020-12-25,75417,32,0.395,0.748,0.26,0.848,0.115,-16.153,0.048,152.546,0.0724
475,I Like Cars,I Like Cars,Fridge,2020-12-11,43373,7,0.88,0.309,0.615,0.00245,0.105,-4.644,0.0989,155.067,0.27
476,see me,see me,2hollis,2020-12-12,154000,0,0.709,0.527,0.858,0.00186,0.719,-2.276,0.139,75.035,0.467
477,Webs,Webs,RamonPang,2020-07-27,218181,12,0.516,0.335,0.853,0.333,0.0654,-3.867,0.0747,131.949,0.169
478,Blue Is Dope,20in20b,Various Artists,2020-12-11,282069,12,0.611,0.422,0.907,0.929,0.0967,-6.255,0.0894,75.992,0.953
479,No Rest (Stealing Voice),The Eye of Jupiter,Sonic,2020-12-04,344306,7,0.666,0.0145,0.718,0.934,0.0964,-15.23,0.0568,145.022,0.608
480,nosummer,NOWINTER NOSUMMER,AHO,2020-11-27,252066,8,0.33,0.935,0.122,0.837,0.0982,-24.088,0.0352,133.769,0.0577
481,Road Of The Lonely Ones,Road Of The Lonely Ones,Madlib,2020-12-14,218466,47,0.641,0.425,0.314,0.41,0.116,-11.56,0.0375,95.969,0.123
482,Kacey Talk,Top,YoungBoy Never Broke Again,2020-09-11,151248,68,0.877,0.535,0.607,0.0,0.138,-7.818,0.15,127.055,0.773
483,Her Revolution,Her Revolution / His Rope,Burial,2020-12-11,348973,46,0.466,0.92,0.51,0.719,0.105,-14.373,0.0715,117.316,0.187
484,His Rope,Her Revolution / His Rope,Burial,2020-12-11,332000,41,0.485,0.735,0.468,0.593,0.0995,-13.861,0.122,115.817,0.695
485,Mirosbass,De Prepo,Jorge López Ruiz 5,1971-04-23,274173,4,0.355,0.00429,0.521,0.944,0.318,-16.047,0.0563,124.617,0.822
486,Jandira,Mestiço,Luiz Henrique,1972-01-01,326519,16,0.591,0.512,0.581,0.124,0.114,-9.974,0.0389,134.199,0.65
487,Rio Corrente,Guilherme Coutinho E O Grupo Stalo,Guilherme Coutinho,1978-08-05,271334,0,0.583,0.393,0.422,0.0166,0.121,-15.638,0.0362,81.668,0.643
488,Lullaby,Codona 3,Codona,1983-02-28,220573,11,0.342,0.991,0.0333,0.972,0.109,-22.857,0.0378,129.05,0.0608
489,Starless and Bible Black,Under Milk Wood: Jazz Suite,The Stan Tracey Quartet,2010-04-05,231026,0,0.269,0.972,0.0196,0.473,0.0769,-28.973,0.0381,62.642,0.255
490,A New Kind Of Quiet,Sounds of Healing in Isolation,Spirituals,2020-12-01,210309,36,0.25,0.966,0.114,0.949,0.107,-27.107,0.0656,152.967,0.278
491,Disrupt #4 - Original,Disrupt #4,Emanative,2020-11-06,287056,12,0.796,0.703,0.597,0.0958,0.1,-10.108,0.0463,104.011,0.799
492,Detrant - Original Mix,Neunachi EP,Ricardo Villalobos,2020-11-30,773500,8,0.771,0.0292,0.571,0.916,0.111,-12.374,0.0512,134.398,0.108
493,Together - Bailey Ibbs Remix,Heights,Rotty,2020-10-30,350163,4,0.803,0.00066,0.928,0.897,0.0692,-7.578,0.0819,132.012,0.981
494,Power Tool,Power Tool,Nikki Nair,2020-11-27,299206,16,0.823,0.000868,0.837,0.00699,0.269,-7.263,0.171,136.942,0.683
495,Antigravity Love feat. Larry Powell - KenLou Dubb Instrumental,Antigravity Love (Masters At Work Remixes),Krust,2020-11-20,379354,5,0.809,5.46e-05,0.534,0.859,0.201,-12.032,0.0672,124.005,0.392
496,Text - Totally Enormous Extinct Dinosaurs Remix,Text (Totally Enormous Extinct Dinosaurs Remix),Darkstar,2020-12-03,308544,0,0.731,0.000543,0.792,0.427,0.0264,-7.221,0.0374,126.019,0.318
497,Time Warps,Time Warps,Richie Hawtin,2020-11-27,1118066,17,0.611,0.00887,0.662,0.914,0.0949,-10.078,0.0394,137.947,0.29
498,Negative Returns - Four Tet Remix,Negative Returns (Four Tet Remix),Krust,2020-11-25,333176,21,0.498,0.0571,0.808,0.744,0.0769,-7.729,0.0425,169.979,0.052
499,I Dnt Care,Tree,2hollis,2020-10-14,128000,0,0.708,0.0327,0.485,0.000626,0.084,-4.687,0.154,150.037,0.701
500,Our Scene,Translate,Luke Abbott,2020-11-20,334419,11,0.437,0.278,0.899,0.857,0.366,-9.126,0.0375,99.018,0.752
501,Glass Story,Out of Home,Luděk Boura,2010-05-28,399800,10,0.401,0.939,0.167,8.19e-05,0.0911,-18.403,0.0708,97.978,0.313
502,Tear Vial,Lamentations,William Basinski,2020-11-13,285706,0,0.277,0.98,0.0327,0.954,0.0986,-26.309,0.0302,69.737,0.138
503,Povo da Raça Brasil,Maria Maria (Último Trem),Milton Nascimento,1996-04-20,322386,6,0.722,0.117,0.388,0.00134,0.229,-10.534,0.355,126.501,0.884
504,Now Jazz Ramwong,Now Jazz Ramwong,Albert Mangelsdorff Quintet,1980,540000,9,0.457,0.236,0.381,0.0126,0.101,-15.065,0.0405,92.715,0.423
505,De l'Orient à l'Orion,Mobilisation Générale: Protest and Spirit Jazz from France (1970-1976),Various Artists,2013-12-02,303160,13,0.453,0.354,0.685,4.58e-06,0.223,-9.618,0.081,79.763,0.562
506,My One And Only,Sock Some Love Power To Me: Rare Detroit Soul (1963-1970),Lee Rogers,2004-01-01,163826,0,0.646,0.115,0.509,0.000148,0.323,-10.001,0.0301,111.557,0.633
507,Above The Clouds,Wu-Chronicles: Chapter 2,Wu-Tang Clan,2001-07-03,225693,0,0.481,0.331,0.922,0.000122,0.253,-4.358,0.319,172.404,0.673
508,Shake Ya Bum Bum (feat. Lil' Shanice),La Bella Mafia,Lil' Kim,2003-03-03,198933,17,0.865,0.0571,0.687,0.0,0.109,-5.439,0.297,91.722,0.403
509,1nce Again (feat. Tammy Lucas) - Radio Version,"Beats, Rhymes & Life",A Tribe Called Quest,1996-07-30,229226,57,0.796,0.0853,0.542,3.2e-05,0.36,-6.751,0.302,93.668,0.855
510,Mawethu,Heartbeat of Africa Uyandibiza,Amampondo,2009-11-01,204400,9,0.404,0.0125,0.707,0.92,0.14,-18.349,0.0655,125.239,0.946
511,Running 2,Dream About The Poison,Nora On Tape,2020-10-02,87000,2,0.451,0.112,0.733,0.714,0.425,-9.074,0.244,80.129,0.247
512,Clipper - Another 5 Years,Clipper (Another 5 Years),Overmono,2020-10-29,258240,0,0.678,0.0889,0.848,0.859,0.27,-9.007,0.0442,138.013,0.268
513,Bounce 2,Your Need,Kedr Livanskiy,2019-05-03,200453,0,0.743,0.000558,0.659,0.846,0.173,-8.878,0.0539,144.952,0.276
514,M to the B,M to the B,Millie B,2020-09-18,137743,56,0.897,0.571,0.513,0.0,0.101,-6.973,0.309,139.935,0.692
515,Bow Ecco,Magic Oneohtrix Point Never,Oneohtrix Point Never,2020-10-30,131209,0,0.272,0.882,0.667,0.412,0.293,-7.523,0.0429,88.15,0.135
516,AsloHop - Original Mix,AsloHop EP,Ricardo Villalobos,2020-10-07,741374,7,0.807,0.00859,0.772,0.864,0.102,-13.034,0.0552,128.007,0.465
517,Ravi - Shanti Celeste Remix,Suddenly Remixes EP,Caribou,2020-10-22,313001,0,0.792,0.0224,0.739,0.906,0.0641,-10.372,0.0595,135.012,0.752
518,Rainbo Locals - Four Tet Remix,Backyard Blenders: The Remixes,A Grape Dope,2020-10-16,265979,11,0.779,0.00561,0.831,0.852,0.161,-11.159,0.0627,140.814,0.853
519,Tron - Kieran Hebden Version,Collected Reworks,Foals,2020-10-09,497293,16,0.696,0.00363,0.476,0.565,0.068,-7.948,0.085,147.995,0.658
520,Everything U Need,Everything U Need,Overmono,2020-10-05,358280,0,0.717,0.462,0.813,0.932,0.076,-10.039,0.0403,133.007,0.176
521,The Relic,A View of U,Machinedrum,2020-10-09,262897,32,0.618,0.0535,0.778,0.261,0.219,-6.527,0.137,161.974,0.504
522,Disco Manila,Disco Manila,Tarsius,2020-10-02,226889,9,0.674,0.0822,0.994,0.867,0.159,-4.497,0.0835,127.031,0.186
523,Balloons - Kieran Hebden Version,Collected Reworks,Foals,2020-10-09,522573,19,0.527,0.00582,0.719,0.622,0.112,-6.748,0.0382,137.725,0.709
524,Conditions (Kieran Hebden mix),Conditions (Kieran Hebden mix),Rozi Plain,2020-10-02,267109,0,0.578,0.826,0.228,0.199,0.109,-13.467,0.0356,100.125,0.198
525,The Spell - Burial Mix,The Spell (Burial Mix),Charles Webster,2020-09-28,479952,26,0.486,0.686,0.469,0.725,0.381,-18.607,0.109,123.026,0.315
526,Ordinary Boy - Floating Points Remix,Ordinary Boy (Floating Points Remix),Ultraísta,2020-09-29,453899,17,0.756,0.00444,0.53,0.611,0.146,-9.038,0.0929,125.034,0.31
527,"My Night, My Day","u,i",Olivier Alary,2020-09-25,318747,17,0.289,0.507,0.495,0.904,0.181,-14.096,0.0805,91.054,0.0661
528,Colors - 2020 Remaster,Sign O' The Times (Super Deluxe),Prince,2020-09-25,61098,39,0.471,0.985,0.0561,0.901,0.107,-17.368,0.0357,112.405,0.0767
529,Beco,Quarto Relatório Anual,Pandit Pam Pam,2020-09-25,148932,0,0.14,0.944,0.0705,0.958,0.111,-16.569,0.0378,100.208,0.0368
530,Nevaeh Ni Ecalp A - 2020 Remaster,Sign O' The Times (Super Deluxe),Prince,2020-09-25,153272,12,0.254,0.925,0.0867,0.00303,0.0942,-22.616,0.0473,124.853,0.0643
531,Blossom,Perfume / Blossom,Logic1000,2020-09-25,286384,0,0.757,0.0286,0.828,0.871,0.0731,-6.926,0.0472,129.0,0.428
532,Hospital Harpist,Hospital Harpist,Spirituals,2020-09-16,378500,5,0.0666,0.805,0.145,0.92,0.093,-15.999,0.047,75.266,0.0326
533,0181 000 0011,0181,00110100 01010100,2017-08-18,42213,14,0.289,0.64,0.144,0.831,0.115,-23.78,0.0478,134.961,0.295
534,Lam Seung Bang Fai - Original Version,Chansons Laotiennes,Sothy,2017-01-20,291106,0,0.614,0.29,0.467,0.0,0.0695,-10.353,0.0313,81.244,0.817
535,La chanson des granges brûlées / Song of the Burnt Barns,Les Granges Brûlées (Original Soundtrack),Jean-Michel Jarre,1973-01-01,165040,16,0.186,0.305,0.686,0.000172,0.0768,-4.596,0.0358,119.375,0.0814
536,Zé e Paraná,Zé e Paraná,Azymuth,2020-09-18,250824,40,0.216,0.651,0.164,0.955,0.127,-13.284,0.0417,209.854,0.333
537,Mars Detection,Between The Universes,Tritonus,1976,486171,6,0.464,0.738,0.455,0.9,0.2,-17.208,0.0341,139.608,0.464
538,Welcome To Love,Play Back,Space Art,1980,400944,8,0.637,0.0451,0.867,0.564,0.286,-11.899,0.0348,107.558,0.766
539,Lady Orange Peel,Hi Ho Silver Lining - The Decca Recordings,The Attack,2014-01-01,148391,16,0.54,0.0572,0.57,0.0477,0.103,-13.04,0.0311,94.333,0.814
540,How Does It Feel to Feel (Us Version),Our Music Is Red - With Purple Flashes (Deluxe),The Creation,2017-05-05,190280,16,0.137,0.00583,0.824,0.0,0.103,-6.721,0.0732,210.029,0.563
541,Dreamworld,Introspection,The End,1969,256173,15,0.306,0.0493,0.598,0.02,0.112,-9.809,0.0366,98.173,0.293
542,Scientist - Cultured Dub,Three The Hard Way,Scientist,2010-01-30,239124,8,0.777,0.0594,0.308,0.862,0.112,-15.627,0.127,140.27,0.548
543,Ma Aarfeen Nagool Shino! (We Don’t Know What to Say!),Two Niles to Sing a Melody: The Violins & Synths of Sudan,Various Artists,2018-09-14,331927,8,0.575,0.214,0.59,0.00308,0.611,-6.58,0.118,90.01,0.944
544,Gidhian Di Raniye Ne Gidhe Wich Aa,Gidhian Di Raniye,A.S. Kang,2017-10-10,181173,22,0.709,0.797,0.539,0.0,0.0749,-11.343,0.0705,82.793,0.966
545,A New Day (is Here at Last),A New Day! The Complete Mus-I-Col Recordings of JC Davis,JC Davis,2005-06-14,191866,17,0.652,0.0685,0.779,0.956,0.0761,-6.064,0.0423,114.054,0.946
546,Gray Area - Instrumental,BUBBA (Instrumental Version),KAYTRANADA,2020-09-04,139653,32,0.816,0.00101,0.747,0.544,0.0959,-8.657,0.099,110.042,0.184
547,Abstract,Conservatory of Flowers,Maria Teriaeva,2020-04-17,204249,6,0.712,0.726,0.412,0.886,0.433,-14.511,0.0791,188.407,0.571
548,Ender,Snake Dance EP,Al Wootton,2020-09-04,278976,12,0.471,0.00226,0.862,0.922,0.0806,-6.776,0.089,88.619,0.471
549,Mr. Law Man,Krotone 002,Krotone,2019-10-21,394782,5,0.778,8.38e-05,0.83,0.888,0.0981,-9.964,0.0629,130.029,0.0502
550,Exaptation,Timeslips,Tangents,2020-09-04,413066,0,0.389,0.0529,0.528,0.659,0.0572,-12.478,0.0529,149.622,0.116
551,Karlaplan,Karlaplan,Off The Meds,2020-09-04,218220,17,0.797,0.623,0.825,0.857,0.115,-9.56,0.054,130.011,0.878
552,"Unknown, Forever Unknown - Alt.v5",ODCD ALT VERSIONS,Vegyn,2020-08-14,83218,0,0.665,0.163,0.42,0.236,0.358,-10.733,0.13,154.017,0.16
553,Night Echoes,Night Echoes,Kareem Ali,2020-05-01,316865,13,0.818,0.0444,0.767,0.000286,0.347,-8.278,0.304,128.059,0.38
554,Touchpad,Touchpad,Two Shell,2020-09-04,306705,23,0.697,0.000998,0.654,0.919,0.116,-15.215,0.0447,133.017,0.11
555,Gamelan,"Ahh-Ahh - Music for Ed Tannenbaum's Technological Feets, 1984-1987",Maggi Payne,2012-06-15,185626,0,0.8,0.819,0.404,0.951,0.0713,-16.601,0.093,100.732,0.797
556,Is It True - Four Tet Remix,Is It True (Four Tet Remix),Tame Impala,2020-08-21,325805,45,0.697,0.469,0.598,0.118,0.0659,-7.722,0.0295,117.992,0.112
557,"I Love You So Much (Mirror, Mirror Flip)",Love Heals II,Kareem Ali,2020-07-17,148871,7,0.589,0.000814,0.779,0.928,0.108,-7.957,0.0587,163.124,0.456
558,Like,Help,Duval Timothy,2020-08-07,257002,0,0.483,0.894,0.796,0.573,0.0943,-13.54,0.0765,112.434,0.599
559,Kagen Sound,Kagen Sound,Luke Abbott,2020-08-14,187190,11,0.58,0.104,0.475,0.81,0.108,-14.303,0.0374,93.977,0.0365
560,La vita nuova - Logic1000 Remix,La vita nuova (Remixes),Christine and the Queens,2020-08-14,225626,0,0.787,0.013,0.518,0.864,0.108,-10.201,0.0478,120.982,0.202
561,Mi Cuerpo,Mi Cuerpo,Pearson Sound,2020-08-14,228068,21,0.832,0.0132,0.751,0.000834,0.717,-7.201,0.204,124.013,0.37
562,Rain 3,Yes,Shinichi Atobe,2020-07-17,455548,20,0.747,0.769,0.333,0.917,0.0959,-17.667,0.0753,127.052,0.828
563,Human Race,Human Race b/w Grey Boy,Human Race,1971-01-01,185929,0,0.737,0.595,0.538,0.418,0.105,-9.414,0.0421,100.018,0.453
564,Love Grows a Flower,Impala Syndrome,Impala Syndrome,2015-02-23,224280,5,0.629,0.0664,0.515,0.00758,0.102,-12.131,0.0387,91.202,0.353
565,At Last...The Beginning - Demo,At Last...The Beginning - The Making Of Electric Ladyland: The Early Takes Sampler,Jimi Hendrix,2018-11-09,96760,12,0.196,0.336,0.202,0.933,0.11,-26.194,0.0539,82.787,0.0367
566,Rainbo Locals,Arthur King Presents A Grape Dope: Backyard Bangers,A Grape Dope,2020-08-07,157253,4,0.572,0.0002,0.874,0.402,0.0947,-4.8,0.0604,140.774,0.688
567,Vulnerable in Bihag,Vulnerable in Bihag / Mose Bole Na,Hedrun,2020-07-29,256000,14,0.421,0.935,0.265,0.374,0.103,-14.26,0.0287,96.026,0.0389
568,Unconditional Oceans,b7,Brandy,2020-07-31,232635,28,0.426,0.535,0.539,0.0,0.513,-4.734,0.157,82.263,0.337
569,Venus,Eschaton EP,Malin Genie,2020-07-24,468078,17,0.799,0.00271,0.772,0.904,0.118,-8.662,0.0497,130.002,0.628
570,Pree Me feat. なかむらみなみ,Pree Me / Get That Juice,Roska,2020-01-24,187884,21,0.837,0.11,0.834,0.00596,0.0671,-5.584,0.0925,129.987,0.761
571,KEYGEN 2 MI H34RT,Lickety Split,Martyn Bootyspoon,2020-07-30,182626,3,0.538,0.00379,0.83,0.371,0.226,-9.968,0.0501,137.963,0.424
572,B1llionz,B1llionz,M1llionz,2020-07-09,219297,52,0.697,0.156,0.516,0.0,0.33,-8.645,0.37,144.047,0.607
573,Moss Garden - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,1977,305866,39,0.163,0.386,0.195,0.891,0.158,-18.134,0.0359,77.685,0.18
574,You Can Give But You Can't Take,"Soul Treasures of Amy, Mala, & Bell Records (1963-1969)",Various Artists,2016,225600,8,0.697,0.697,0.503,2.31e-06,0.4,-8.405,0.0533,108.0,0.843
575,This Time Tomorrow,Sizzling Sirens of Classic Soul,Various Artists,2014-12-19,164559,0,0.205,0.275,0.624,1.14e-06,0.194,-7.235,0.044,172.595,0.687
576,Fluid,Think Pink (50th Anniversary Edition),Twink,1970-04-01,246442,4,0.221,0.0493,0.911,0.837,0.42,-5.824,0.0908,134.805,0.103
577,Confession,Jason's Fleece,Jason's Fleece,1970-01-01,204280,4,0.77,0.0587,0.476,0.262,0.0991,-12.131,0.0441,126.646,0.591
578,We Love You Malcolm X,Cosmic Paradise / Peace In The World,Michael Cosmic,2018-04-21,489163,9,0.342,0.0142,0.352,0.000905,0.332,-17.373,0.054,71.517,0.294
579,Descripción,Elia y Elizabeth,Elia y Elizabeth,1972-07-10,175728,0,0.608,0.628,0.217,0.0,0.246,-16.364,0.0336,105.025,0.604
580,Zvichapera,Zvichapera,Chiwoniso,2015-05-18,245000,41,0.681,0.842,0.436,4.19e-05,0.154,-9.514,0.0767,110.273,0.606
581,Alien Mode,Alien Mode,Pearson Sound,2020-07-10,363240,27,0.771,0.0581,0.977,0.908,0.0908,-7.348,0.0736,136.012,0.578
582,Love Minus Zero,Love Minus Zero,Tiga,2020-07-06,313212,26,0.628,0.00502,0.913,0.828,0.386,-3.562,0.0515,137.017,0.344
583,Calamine - Radio Mix,Glasshead,Four Tet,1999-07-12,472640,8,0.492,0.0367,0.644,0.837,0.0945,-8.924,0.0525,131.968,0.68
584,I. Miss. Raving.,I. Miss. Raving.,Elkka,2020-07-01,339452,15,0.783,0.0152,0.826,0.892,0.144,-10.229,0.0395,132.005,0.219
585,Operation,Instinct 07,Instinct (UK),2019-09-27,345106,31,0.93,0.00309,0.673,0.881,0.11,-10.043,0.136,134.992,0.699
586,Emotional Melodical,For You,I. JORDAN,2020-05-20,305706,9,0.557,0.0472,0.947,0.95,0.135,-10.072,0.0392,139.986,0.617
587,Prospect (ft. Lil Baby),I'm Gone,iann dior,2020-06-12,226313,60,0.816,0.203,0.579,0.0,0.127,-6.097,0.0867,120.078,0.43
588,This One,This One,Kay-O,2020-04-30,136170,24,0.623,0.121,0.626,0.0,0.37,-7.891,0.318,141.019,0.77
589,Sister - Floating Points Remix,Never Come Back / Sister (Floating Points Remixes),Caribou,2020-06-30,423309,0,0.783,0.0282,0.229,0.888,0.0766,-12.514,0.0552,124.998,0.206
590,Damn Skippy!,"Peach Pals, Vol. 1",Various Artists,2020-06-19,347313,7,0.796,0.00147,0.845,0.882,0.0915,-7.294,0.0554,129.011,0.36
591,Womxn - Logic1000 Remix,Womxn (Logic1000 Remix),Låpsley,2020-07-01,281892,0,0.753,0.000213,0.651,0.282,0.105,-6.818,0.0884,126.008,0.364
592,Welcome Rain In Banana Grove,Music of a Timeless Earth,Various Artists,1980-01-01,464080,5,0.365,0.418,0.597,0.87,0.0372,-14.033,0.0335,90.053,0.563
593,Misnomer - Long Version,Misnomer,Four Tet,1999-01-11,409443,10,0.638,0.429,0.585,0.0369,0.139,-11.313,0.0581,107.136,0.792
594,Charm,Misnomer,Four Tet,1999-01-11,304026,10,0.29,0.83,0.239,0.566,0.184,-21.487,0.0425,78.772,0.188
