,track_name,album,artist_name,release_date,duration_ms,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
39,Nothing Left To Lose - Four Tet Remix,Nothing Left To Lose (Remixes),Everything But The Girl,2023-03-29,273764,36,0.868,0.027,0.618,0.137,0.111,-7.445,0.154,127.993,0.694
40,Peach,Peach,salute,2023-03-31,345310,57,0.866,0.0115,0.668,0.889,0.238,-7.472,0.0969,135.009,0.657
41,"Paris, Texas (feat. SYML)",Did you know that there's a tunnel under Ocean Blvd,Lana Del Rey,2023-03-24,206722,77,0.315,0.985,0.102,0.0512,0.109,-17.621,0.034,169.69,0.185
42,In The End You'll Know,In The End You'll Know,James Holden,2023-03-22,387700,22,0.34,0.273,0.74,0.924,0.0974,-13.276,0.0589,124.477,0.0876
43,Miracle (with Ellie Goulding) - Church Version,Miracle (with Ellie Goulding) [Church Version],Calvin Harris,2023-03-31,164608,56,0.244,0.883,0.232,0.0985,0.112,-14.25,0.0367,138.59,0.0551
44,Baby again..,Baby again..,Fred again..,2023-03-17,319963,73,0.847,0.00355,0.724,0.00339,0.0731,-7.668,0.047,126.983,0.326
45,Parallel 6,Parallel,Four Tet,2020-12-25,306970,50,0.711,0.66,0.635,0.96,0.194,-13.168,0.0537,124.034,0.646
46,Climax,Looking 4 Myself (Expanded Edition),Usher,2012-06-12,232906,63,0.647,0.547,0.478,2.69e-05,0.156,-8.837,0.0782,135.877,0.333
47,Simmm,Quaristice,Autechre,2008-03-03,300013,18,0.644,0.0514,0.757,0.909,0.105,-11.574,0.0544,132.964,0.423
48,disko June,Minimal Cuts II,Buttechno,2023-03-10,290081,22,0.799,0.00148,0.585,0.878,0.103,-11.773,0.0535,131.984,0.909
49,Fluff Rehab,"Lost & Found EP, Vol. 2",Kerri Chandler,2023-03-03,506000,27,0.811,7.9e-06,0.917,0.889,0.0835,-8.539,0.0578,126.03,0.124
50,Rivers Become Oceans,Lo and LOAF Presents: Sounds in Search of Ears,Various Artists,2009-12-07,472080,17,0.886,0.0034,0.917,0.511,0.0778,-4.222,0.0638,120.39,0.517
51,Helicon 2,Ten Rapid,Mogwai,1997-04-17,158333,21,0.687,0.155,0.0951,0.924,0.138,-19.359,0.0371,113.412,0.159
52,Hear Me Now,The Short Song Project I,Jayla Kai,2023-02-22,64374,14,0.27,0.969,0.39,0.00402,0.404,-16.875,0.176,132.113,0.813
53,love him,lil spirits,Two Shell,2023-02-10,193102,37,0.773,0.172,0.468,0.121,0.0951,-9.337,0.123,154.956,0.51
54,February 2014,2011 Until 2014,Percussions,2015-04-28,358038,30,0.726,0.696,0.767,0.903,0.116,-12.269,0.0749,125.998,0.114
55,Big Moma Tech,Baci Ballers EP,Kyle Hall,2023-02-17,339844,17,0.792,0.00442,0.923,0.927,0.14,-5.997,0.0554,131.051,0.676
56,Tears,Quest For Fire,Skrillex,2023-02-17,185571,59,0.697,0.00182,0.633,0.2,0.109,-5.288,0.1,140.216,0.369
57,Wind On Wind,Evening Star,Robert Fripp,1975,193280,41,0.0843,0.972,0.0589,0.93,0.0849,-26.134,0.0431,70.333,0.0332
58,Rather Be You,She,Flywheel,1996-08-02,204906,14,0.499,0.408,0.348,0.635,0.0942,-12.284,0.0283,87.792,0.569
59,Hey Dostla! - Instrumental,The Rap Tracks,Egon,2019-11-26,219271,11,0.673,0.352,0.773,0.784,0.103,-11.403,0.0508,100.333,0.456
60,Wish I Had Not Said That,Shades,J.J. Cale,1981-02,202000,46,0.817,0.675,0.216,0.19,0.0995,-16.691,0.0368,89.562,0.712
61,Don’t Get Too Close,Don’t Get Too Close,Skrillex,2023-02-13,244285,36,0.369,0.967,0.195,0.0164,0.104,-11.159,0.0339,146.866,0.292
62,XENA,XENA,Skrillex,2023-02-02,251586,51,0.698,0.00168,0.902,0.552,0.0988,-8.134,0.0679,145.014,0.285
63,Bells Two - Live,Roundtrip (1977) [Live],Don Cherry,2023-01-27,335840,12,0.438,0.861,0.586,0.756,0.111,-8.829,0.0357,117.418,0.423
64,The Motion Makes Me Last - Four Tet Remix,Leaves Eclipse the Light,Eluvium,2010-09-14,469480,21,0.6,0.618,0.645,0.935,0.0959,-14.143,0.0455,120.002,0.673
65,Cloudy - Kelbin Remix,Cloudy (Kelbin Remix),Daphni,2023-01-25,336716,45,0.758,0.39,0.878,0.866,0.1,-6.656,0.0549,134.019,0.0668
66,Sandrail Silhouette,Sandrail Silhouette,Avalon Emerson,2023-01-25,269446,37,0.606,0.0607,0.64,0.0488,0.092,-7.411,0.0265,100.014,0.361
67,Thieves,You've Seen a Lot,Flywheel,2023-01-14,324000,13,0.282,0.0984,0.54,0.438,0.179,-9.919,0.0311,139.869,0.244
68,Big Muff - Alternate Version With Drums,One World (Deluxe Edition),John Martyn,1977,405693,11,0.751,0.627,0.386,0.771,0.146,-21.205,0.0637,97.005,0.579
69,One - Instrumental,Welcome To Detroit (Instrumentals),J Dilla,2001,95173,0,0.798,5.05e-06,0.459,0.899,0.122,-10.635,0.0668,97.957,0.162
70,Have to Make My Bed,Have to Make My Bed,Sijya,2021-12-06,161015,11,0.208,0.85,0.0936,0.874,0.104,-17.557,0.0363,66.929,0.0649
71,Tunji,Coltrane (Deluxe Edition - Rudy Van Gelder Remaster),John Coltrane Quartet,1962,390626,23,0.501,0.586,0.408,1.65e-05,0.123,-11.419,0.0362,112.714,0.268
72,Key to Love (Is Understanding),Key to Love (Is Understanding),BADBADNOTGOOD,2019-12-06,235841,36,0.579,0.687,0.211,0.000668,0.0715,-14.832,0.047,129.707,0.19
73,Danse Fambeaux,Gris Gris,Dr. John,1968,296253,26,0.651,0.201,0.376,0.396,0.0405,-15.666,0.0442,91.593,0.59
74,DD.019,"J Dilla's Delights, Vol. 1",J Dilla,2017-06-16,119754,22,0.731,0.966,0.41,0.932,0.172,-11.221,0.525,179.334,0.957
75,Any Day Woman - 2008 Remaster,Bonnie Raitt (2008 Remaster),Bonnie Raitt,1971,143933,31,0.604,0.774,0.295,5.8e-05,0.0914,-11.465,0.0332,114.157,0.523
76,Look After Your Mermaids,No More Mosquitoes,Four Tet,2001-06-25,325133,14,0.419,0.663,0.146,0.62,0.113,-17.119,0.0312,99.737,0.0475
77,Halcyon,Acheron EP,Malin Genie,2023-01-10,417786,14,0.803,0.0445,0.934,0.876,0.0903,-8.538,0.154,139.997,0.377
78,Still Flowing Water,Fuzzy Logic / Still Flowing Water,Pangaea,2022-10-21,359076,35,0.752,0.00564,0.994,0.916,0.0944,-6.309,0.0534,140.004,0.312
79,Emeline,Emeline,Facta,2023-01-13,329705,14,0.803,0.0426,0.772,0.887,0.0397,-5.095,0.0503,130.011,0.946
80,Intimate Immensity (Remix),Intimate Immensity / A Call from the Eaves,Tomaga,2022-12-02,371948,28,0.252,0.98,0.16,0.931,0.0956,-21.86,0.0351,78.402,0.196
81,Ow Wow,Blind Eye EP,Villager,2022-12-20,234500,24,0.777,0.0103,0.743,0.903,0.0897,-5.56,0.0605,136.017,0.705
82,Samba on Sama,Waiting Game,Junior Boys,2022-10-28,346253,27,0.463,0.896,0.215,0.891,0.0629,-18.325,0.0408,109.665,0.244
83,Glitch,Midnights (3am Edition),Taylor Swift,2022-10-22,148781,72,0.675,0.361,0.466,0.0,0.11,-9.738,0.201,140.864,0.347
84,NYC,Tunes 2011-2019,Burial,2019-12-06,457686,18,0.788,0.188,0.692,0.758,0.248,-8.131,0.0756,115.173,0.651
85,Call Me,Southern Hummingbird,Tweet,2002-04-02,177373,48,0.552,0.484,0.706,6.49e-05,0.074,-8.117,0.363,167.468,0.721
86,Perverted Undertone,One Word Extinguisher,Prefuse 73,2003-05-05,198040,0,0.632,0.0349,0.573,0.943,0.125,-6.938,0.031,94.003,0.27
87,Lorelei,Treasure,Cocteau Twins,1984-11-01,223266,58,0.373,7.83e-05,0.679,0.116,0.247,-9.195,0.0393,90.974,0.42
88,Prints Tie,San Francisco,Bobby Hutcherson,1971-05-01,449600,27,0.331,0.824,0.254,0.52,0.0911,-15.98,0.0339,83.94,0.229
89,Yamatee Nee Law,Geedy Dayaan,Super Jamano De Dakar,2009-01-01,331946,11,0.548,0.886,0.408,0.184,0.0789,-12.025,0.0324,101.988,0.814
90,Chulivarchi Kheer,Etuklya Pituklyanchi Balgeete,Various Artists,2005-03-08,198635,7,0.774,0.787,0.68,0.0,0.0689,-9.245,0.0571,111.519,0.637
91,Banana Don't Jiggle Jiggle,Banana Don't Jiggle Jiggle,The Minions,2023-01-06,62716,55,0.723,0.498,0.613,0.0891,0.0995,-4.616,0.384,116.702,0.768
92,Looking at Your Pager - Chris Lake Remix,Looking At Your Pager (Chris Lake Remix),KH,2022-11-18,219073,40,0.812,0.0312,0.941,0.841,0.118,-6.263,0.139,125.99,0.464
93,2M3 2U,2M3 2U,Joy Orbison,2022-11-16,247234,33,0.887,0.0157,0.833,0.375,0.104,-8.566,0.2,133.006,0.362
94,Someone Close,Someone Close,Floating Points,2022-11-09,492316,31,0.499,0.901,0.486,0.932,0.114,-11.636,0.0387,88.096,0.507
95,Squishy Windows,Squishy Windows,Pariah,2022-09-06,273600,25,0.728,0.0805,0.933,0.704,0.0847,-7.689,0.063,74.994,0.497
96,Loaded Dice,"Senka Mixtape, Volume 1",Dub Phizix,2022-08-05,151457,17,0.71,0.00597,0.894,0.782,0.0804,-4.522,0.124,109.219,0.459
97,Elite,Elite,Abelation,2022-08-22,233141,42,0.631,0.172,0.675,0.46,0.29,-5.778,0.329,139.962,0.453
98,Fo Yelle,Yinne,Florence Adooni,2022-10-07,290442,32,0.475,0.748,0.715,0.00128,0.157,-9.624,0.0336,97.578,0.702
99,Yabis,Sewele,Sir Shina Peters,2019-01-25,418768,23,0.783,0.353,0.575,0.0709,0.234,-12.707,0.0511,101.672,0.694
100,I've Got Dreams to Remember,The Immortal Otis Redding,Otis Redding,1968-06,195866,20,0.389,0.495,0.277,0.0,0.138,-13.15,0.0279,141.75,0.402
101,Someone Else Today,"Honey, Wheat & Laughter",Anne Murray,1970,189973,9,0.136,0.779,0.249,0.00309,0.162,-15.522,0.043,68.584,0.181
102,Timelapse,Bolts,Hagop Tchaparian,2022-10-21,226201,17,0.572,0.987,0.312,0.829,0.0808,-15.302,0.0359,139.101,0.0384
103,Escape,Bolts,Hagop Tchaparian,2022-10-21,164437,17,0.77,0.172,0.293,0.898,0.0897,-10.188,0.0512,119.983,0.129
